jobTitle,location
Computer vision:Uncertainty prediction for deep learning object detection | The Hague,Den Haag
Yacht Data Traineeship voor ambitieuze junior data analist of data scientist,Eindhoven
Senior Software Engineer - Frontend,Amsterdam
Sr Lab Technician/Associate Scientist Target Discovery,Leiden
Scientist Bioinformatics,Leiden
Sr Distributed System Engineer Data Science Lab - Real-time Streaming Engine,Amsterdam
Medior Java Developer | Big Data | € 60.000,Amsterdam
Senior Data Scientist / Python Developer bij MyTomorrows,Amsterdam Zuid
"Analytics Expert - Insurance, New Ventures",Amsterdam
Full stack developer NodeJS React | 3 days remote!,Amsterdam
Senior Front-end Developer,Amsterdam
Senior Visual Designer,Nederland
BigData Engineer die functioneel programmeert,Bodegraven
Senior Big Data Engineer | up to € 75.000 + bonus,Amsterdam
Zelfstandige PHP developer gezocht,Amersfoort
Senior Python Developer,Rotterdam
Senior Datawarehouse Engineer,Rotterdam
PhD student - Treatment choices and its impact on quality of life and the cost-effectiveness of women diagnosed with low risk DCIS,Amsterdam Nieuw-West
Senior front-end developer bij Owlin!,Amsterdam
Senior Data Scientist - McKinsey Analytics,Amsterdam
Manufacturing Senior Data Scientist - McKinsey Analytics,Amsterdam
3 Tenure track positions “Assistant/Associate Professor Physical Geography”,Utrecht
Java ontwikkelaar API-management,Apeldoorn
CRM Marketeer - Randstad Groep Nederland - Amsterdam,Amsterdam-Zuidoost
BI/Big Data Traineeship met baangarantie bij Luchtvaartmaatschappij op Schiphol,Schiphol
3 PhD positions in the field of Sustainability implications of the Circular Economy,Utrecht
Uitdagende hbo/wo stage als IT recruiter bij YoungCapital Professionals,"Stadsparkwijk, Grunobuurt & Laanhuizen"
Lead Java Software Engineer Amsterdam Big Data,Amsterdam
Senior Laboratory Technician/ Associate Scientist Target Discovery & Validation - Leiden,Leiden
Postdoctoral position within Research Priority Area Personalised Communication 4,Amsterdam Centrum
"Sen/Pr Digital Transformation Consultant for Chemical, Life Science or Agriculture Industry (NL",Amsterdam
Tenure Track Assist. Prof. Optimisation & Operations Research Engineering 2 FTE,Groningen
Senior Java Backend Software Engineer | Kafka | € 80.000,Amsterdam
Senior Java Software Engineer | € 80.000 + 5%,Amsterdam
Senior Java Backend Software Engineer | up to € 80.000,Amsterdam
PhD researcher on the project “Using surveys and smartphone sensors to produce time use and travel statistics” (1.0 FTE),Utrecht
Senior Java Software Engineer | Heavy Load Systems,Amsterdam
1 PhD and 1 postdoc position on computational methods to explore and predict natural product biosynthetic diversity,Wageningen
Postdoc on Predictive Monitoring for Alarm-Limiting AlgoRithm-based Monitoring,Eindhoven
Java Developer - Machine learning system - €60K,Amsterdam
Medior Java Developer | Houten | Maven | 3.000 - 4.400,Houten
"IT-traineeship YoungCapital Professionals: Java, C#, BD/BI, Frontend of IA",Utrecht Binnenstad
Sr Java Developer | Houten | Spring | 4.300 - 5.800,Houten
Lead Java Developer wanted at a High Tech engineering firm at Utrecht!,Utrecht
"Junior Java Backend Software Engineer Amsterdam | Online Big Data Technologie | Java8, Spring Boot, SQL",Den Haag
Junior / Medior C#.NET developer gezocht voor de lancering van een platform (versie 2.0),Utrecht Binnenstad
Java Developer - Amsterdam,Amsterdam
Medior Java Software Engineer | € 60.000 + 5%,Amsterdam
Lead Developer | Java & Scala/Akka | tot € 85.000 + 10% bonus,Amsterdam
Medior Java Backend Software Engineer | tot € 60.000,Amsterdam
Scala / Java Developer,Amsterdam
Medior Java Backend Software Engineer | up to € 60.000,Amsterdam
Lead Java Software Engineer High Performance | tot € 90.000,Amsterdam
"Senior Datawarehouse Engineer | E-commerce gigant | Python, SCRUM, ETL | Salaris tot €4750,- per maand",Rotterdam
Lead Java Software Engineer | Schaalbaarheid & Performance | € 90.000 + 10%,Amsterdam
Data scientist / Business Analytics Consultant,Utrecht (provincie)
Data Scientist,Zeeland
Data Scientist Consultant – Detachering – Randstad,Zuid-Holland
Data Scientist,Utrecht (provincie)
"Clinical Research Scientist (0,9-1,0 fte)",Limburg
Data Scientist / Customer Intelligence / Zeeland,Zeeland
Junior Data Scientist / Zeeland,Zeeland
WO Graduation or Workalong Internship Predictive Analytics Team,Noord-Holland
Junior Data Scientist - duurzame energie,Noord-Holland
Data scientist,Zuid-Holland
Data Scientist (ref. 1737),Zuid-Holland
Data Analyst Corporate Real Estate Facility Services,Noord-Holland
Enthousiaste data analist voor ING Collections,Noord-Holland
WO Workalong Internship Internship Data Engineer,Noord-Holland
Data-Science trainees in Rotterdam,Zuid-Holland
Traineeship - IT April 2018,Noord-Holland
"Data Scientists, Machine Learning experts (junior tot senior level)",Noord-Holland
Data Scientist in Rotterdam,Zuid-Holland
Chapter Lead Data Science,Noord-Holland
Sr. Scrum Master - Technology & People,Zuid-Holland
Scientist Analytical Development,Zuid-Holland
Senior Data Scientist - duurzame energie,Noord-Holland
Data Engineer NPO,Noord-Holland
UX Designer @Yolt,Noord-Holland
Senior Scientist Upstream,Noord-Brabant
Senior MS & Chromatography Scientist (ref. 1699),Noord-Brabant
Research Analist (In Vivo / Artikel 9 of 12),Noord-Holland
Technician DSP - Uitzicht op een vast contract!,Noord-Holland
Senior Data Engineer – Detachering – Randstad,Zuid-Holland
Pharmacovigilance Specialist,Noord-Holland
Domain Architect Lending & Trade,Noord-Holland
Principal Scientist / Lab Head,Noord-Brabant
Senior Technician Cell Biology,Zuid-Holland
DWH developer,Noord-Holland
Senior Risk Scientist,Noord-Holland
R&D Manager – Bioanalysis,Noord-Brabant
Scientist Bio-informatics (ref. 1738),Zuid-Holland
Senior Frontend Developer snelgroeiend reizigersplatform,Noord-Brabant
Fullstack Scala Developer voor groeiend reizigersplatform,Noord-Brabant
Customer Journey Expert - Beleggen & Private banking - Wealthmanagement Expert,Noord-Holland
Java Software Engineer,Noord-Holland
